no,code,name,description,school_name,places_for_work
1,car_sci_0001,វិស្វករសំណង់ស៊ីវិល,សំណង់ និងអគារដែលមានរចនាម៉ូដផ្សេងៗ និងមានកម្ពស់ស្កឹមស្កៃ ក្នុងទីក្រុងទំនើបជាច្រើនដោយសារ ស្នាដៃ និងគំនិតថ្មី និងជំនាញរបស់វិស្វករសំណង់ស៊ីវិល។គោលដៅចម្បងមួយរបស់ពួកគេ គឺកសាងហេដ្ឋារចនាសម្ព័ន្ឋ ឬសំណង់អគារដែលជាប់ធន់ច្រើនជំនាន់ ដោយគ្រាន់តែធ្វើការជួសជុល ដើម្បីរក្សាភាពដើមរបស់វាប៉ុណ្ណោះ។ សព្វថ្ងៃនេះយើងអាចឃើញការដ្ឋានសំណង់ជាច្រើនកន្លែងនៅក្នុងទីក្រុង រួមទាំងការដ្ឋានសំណង់ផ្ទះល្វែង ឬអគារការិយាល័យ។ អាជីពនេះត្រូវសិក្សា មុខវិជ្ជា សំណង់ស៊ីវិល រយៈពេល ៤-៦ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញា។ ចំពោះចំណេះដឹងផ្នែកភាសាអង់គ្លេស និងកុំព្យូទ័រគឺត្រូវការជាចាំបាច់។,13. វិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាITC,ក្រុមហ៊ុនឯកជន ស្ថាប័នរដ្ឋ ប្រកបអាជីវកម្មខ្លួនឯង
,,,,23. វិទ្យាស្ថានជាតិពហុបច្ចេកទេសកម្ពុជាNPIC,
,,,,57. សាកលវិទ្យាល័យន័រតុនNU,
,,,,8. សាកលវិទ្យាល័យបាត់ដំបង,
,,,,58. សាកលវិទ្យាល័យ មេគង្គកម្ពុជា,
,,,,59. សាកលវិទ្យាល័យ ប៊ែលធីអន្តរជាតិ,
,,,,61. សាខាសាកលវិទ្យាល័យបៀលប្រាយ,
,,,,65. សាកលវិទ្យាល័យឯកទេសនៃកម្ពុជា,
,,,,68. សាកលវិទ្យាល័យ ហ្សាម៉ាន់,
,,,,69. សាកលវិទ្យាល័យអន្តរជាតិ,
,,,,96. វិទ្យាស្ថានបូលីណូ,
