no,code,name,description,school_name,places_for_work
1,car_tec_0001,ស្ថាបត្យករ,តើ​អ្នកធ្លាប់​មើល​ជុំវិញខ្លួន​ហើយ​គិតថា អាគារនៅជុំវិញ​អ្នកស្រស់ស្អាត​ប៉ុណ្ណា​ហើយ​ឆ្ងល់ថា តើ​អ្នកធ្វើរបៀបណា​ប្រសិនបើ​គ្មានពួកគេ​? ​ដោយសារ​ការរស់នៅ​ប្រែប្រួល​យ៉ាងឆាប់រហ័ស​នៅកម្ពុជា​អាគារខ្ពស់ៗ កំពុងត្រូវបាន កសាងឡើង ខណៈពេល​អាគារចាស់ៗ​ក៏ត្រូវបានគេ ជួសជុល​កែលម្អ​ផងដែរ​។ អ្នកអាចជា​ផ្នែកមួយ​នៃការងារនេះ។ ស្ថាបត្យករ​រចនាអាគារ​ដែលត្រូវបាន​គេសាងសង់​ទៅតាម​តម្រូវការ​របស់អតិថិជន​។ ពួកគេ​បង្កើត​អាគារថ្មី ជម្រើស ផ្សេងៗ និង​ការពង្រីក​បន្ថែមអាគារ​ដែលមាន​ស្រាប់ហើយ ព្រមទាំង​ធ្វើការងារ​កែ​លម្អ​អាគារ​ចាស់ៗ​។ ពួកគេ​បង្កើត​គំរូស្រស់ ស្អាត​ដែលរក្សា​បានមុខងារ និង​ស្របទៅតាម​បទដ្ឋាន សុវត្ថិភាព​ផងដែរ​។ ដំបូងពួកគេ​ធ្វើគំនូរ​ព្រាងថា អាគារនោះ មានរូបរាង​យ៉ាងម៉េច ហើយបន្ទាប់មក​ពួកគេ​ធ្វើការងារ​ជាមួយ​ក្រុមវិស្វករ​ក្នុងដំណើរ​ការសាងសង់​តាំងពីដើម​រហូតដល់ចប់ ដើម្បីធ្វើឲ្យ​ប្រាកដថា វាឆ្លើយតប​ទៅតាម​តម្រូវការ​ថវិកា តម្រូវការរបស់ភ្ញៀវ តម្រូវការ​ផ្នែកបរិស្ថាន​និង​តម្រូវការ​ផ្នែកច្បាប់។ ជំនាញនេះតម្រូវឲ្យមានកម្រិតសញ្ញាបត្រ៖ បរិញ្ញាបត្រ ឯកទេសស្ថាបត្យករ យៈពេលសិក្សាពី៤ឆ្នាំ។ ត្រូវចេះភាសាអង់គ្លេស និងកុំព្យូទ័រកាន់តែល្អ។,23. វិទ្យាស្ថានជាតិពហុបច្ចេកទេសកម្ពុជាNPIC,ក្រុមហ៊ុនឯកជន ស្ថាប័នរដ្ឋ ប្រកបអាជីវកម្មខ្លួនឯង
,,,,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,
,,,,57. សាកលវិទ្យាល័យ ន័រតុន,
,,,,13. វិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជា,
,,,,58. សាកលវិទ្យាល័យមេគង្គកម្ពុជា,
,,,,77. សាកលវិទ្យាល័យគ្រប់គ្រងនិងសេដ្ឋកិច្ច,
2,car_tec_0002,អ្នករចនាផ្ទៃខាងក្នុងបន្ទប់/អាគារ,ដោយសារសម័យបច្ចុប្បន្នមានការរីកលូតលាស់ទៅមុខជាខ្លាំង ទាំងអគារ ផ្ទះល្វែង​ បុរី ហាងកាហ្វេ សណ្ឋាគារ។ល។ សោភណភាពគឺជាចំនុចដំបូងដែលមនុស្សគ្រប់រូបចាប់អារម្មណ៍។ ដូចនេះការតុបតែងផ្នែកខាងក្នុងគឺជាតម្រូវការដ៏ចាំបាច់សម្រាប់គ្រប់គ្នា។ ការតុបតែងផ្នែកខាងក្នុងគឺជាសិល្បៈមួយដើម្បីធ្វើឱ្យគ្រប់គ្នាមានការទាក់ទាញ និង ចាប់អារម្មណ៍។ គេត្រូវមានការច្នៃប្រឌិត យកចិត្តទុកដាក់ ឧស្សាហ៍ព្យាយាម ចូលចិត្តរៀនពីអ្វីថ្មីៗ និងមានការតាំងចិត្ត។ ,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន  ប្រកបអាជីវកម្មខ្លួនឯង
,,,,70. សាកលវិទ្យាល័យលីមកុកវីង យូនឺវឺស៊ីធី អហ្វ គ្រេអេទីវ តិចណូឡូជី,
,,,,57. សាកលវិទ្យាល័យ ន័រតុន,
,,,,85. វិទ្យាស្ថានសិល្បៈភ្នំពេញអន្តរជាតិ,
