no,code,name,description,school_name,places_for_work
1,car_voc_0001,អ្នកបច្ចេកទេសមេកានិចយានយន្ត,អ្នកបច្ចេកទេសមេកានិច យានយន្ត ជាអ្នកបំរើសេវាអតិថិជនដែលជាផ្នែកមួយនៃបច្ចេកទេសជួសជុល និងថែទាំ។ គាត់ជាអ្នកទទួលខុសត្រូវ ជួសជុល និងថែទាំផ្នែកខាងក្នុង និងក្រៅម៉ាស៊ីនរថយន្ត ។ អាជីពនេះត្រូវសិក្សាជំនាញបណ្ដុះបណ្ដាលវិជ្ជាជីវៈរយៈពេល៦ខែ ទៅ ១ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាបត្ររងកាន់តែល្អ។ ,មជ្ឍមណ្ឌលបណ្ដុះបណ្ដាលវិជ្ជាជីវៈ​តាមខេត្ត ក្រុង,ការដ្ឋានយានយន្ត ផលិតកម្មយានយន្ត រោងចក្រ ប្រកបអាជីវកម្មដោយខ្លួនឯង
,,,,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,
,,,,103. សាលាបច្ចេកទេសដុនបូស្កូ កម្ពុជា,
2,car_voc_0002,អ្នកជូសជុសម៉ាស៊ីនត្រជាក់,អ្នកជូសជុសម៉ាស៊ីនត្រជាក់ជាអ្នកបំរើសេវាអតិថិជនតំលើង និងបច្ចេកទេសថែទាំនិងជួសជុលប្រព័ន្ឋម៉ាស៊ីនត្រជាក់។ ជំនាញនេះធ្វើការងារជាក្រុម ហើយជាមនុស្សស្វាហាប់ មានស្មារតីត្រួតពិនិត្យ ចេះទទួលខុសត្រូវ មានគំនិតច្នៃប្រឌិត និងមានរាងកាយមាំមួន លើកសម្ភារៈធ្ងន់ៗបាន។ អាជីពនេះសិក្សាជំនាញ ជួសជុលម៉ាស៊ីនត្រជាក់ រយៈពេល២ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ  ។,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,ក្រុមហ៊ុនឯកជន និងអាជីវកម្មផ្ទាល់ខ្លួន 
,,,,103. សាលាបច្ចេកទេសដុនបូស្កូ កម្ពុជា,
3,car_voc_0003,អ្នកផ្គុំដំឡើងបរិក្ខារអេឡិចត្រូនិច,អ្នកផ្គុំដំឡើងបរិក្ខារអេឡិចត្រូនិច  គឺជាអ្នកបំរើសេវាដំឡើងគ្រឿងអេឡិចត្រូនិច និងបច្ចេកទេសតបណ្ដាញអេឡិចត្រូនិច ដូចជា៖ ទូរទស្សន៍ ម៉ាស៊ីនត្រជាក់ ទូរស័ព្ទ វិទ្យុ  និងគ្រឿងអេឡិចត្រូនិចផ្សេងៗទៀត។ គេត្រូវមានបច្ចេកទេសវិទ្យាទំនើប ឧស្សាហ៍ ពូកែតស៊ូណាស់ ទាំងកំលាំងកាយ និងប្រាជ្ញា។  អាជីពនេះត្រូវសិក្សាជំនាញ អេឡិចត្រូនិច រយៈពេល ២ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ ,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,ក្រុមហ៊ុនឯកជន និងអាជីវកម្មផ្ទាល់ខ្លួន 
,,,,103. សាលាបច្ចេកទេសដុនបូស្កូ កម្ពុជា,
,,,,,
4,car_voc_0004,អ្នកថតរូប,អ្នកថតរូបជាអ្នកបំរើសេវាអតិថិជនដែលជាផ្នែកមួយនៃបច្ចេកទេសថតរូបភាព។ ជំនាញនេះមានទទួលខុសត្រូវ  មានទំនាក់ទំនងល្អជាមួយអតិថិជន ស្វែងរកទីកន្លែងដែលមានសោភណ្ឌ័ភាព បែបធម្មជាតិ និងបច្ចេកទេសថតរូបស្អាត ក្នុងការឲ្យពន្លឺ កាត់តរូបភាព។ អាជីពនេះត្រូវសិក្សាជំនាញបណ្ដុះបណ្ដាលវិជ្ជាជីវៈរយៈពេល៦ខែ ទៅ ១ឆ្នាំ និងចេះប្រើប្រាស់កុំព្យូទ័រកាន់តែល្អ។ ,100. អង្គការសកម្មភាព ពុទ្ធសាសនាដើម្បីអភិវឌ្ឍន៍សង្គម,ក្រុមហ៊ុនឯកជន និងអាជីវកម្មផ្ទាល់ខ្លួន 
,,,,ហាងថតរូប ឬស្ថាន័បឯកជន,
5,car_voc_0005,អ្នកបច្ចេកទេសផ្នែកវិទ្យុ ឬការផ្សាយសំលេង,អ្នកបច្ចេកទេសផ្នែកវិទ្យុ ឬការផ្សាយសំលេង ជាអ្នកបំរើសេវាកម្មសាធារណៈដែលទាក់ទងនឹងផ្សព្វផ្សាយព័ត៌មានការអប់រំ និង​សេដ្ឋកិច្ចសង្គម​។ អាជីពនេះជាអ្នកដែលមានបច្ចេកទេសវិទ្យា និងការគ្រប់គ្រងរលកធាតុអាកាសផ្សព្វផ្សាយសំលេងវិទ្យុ និងទូរទស្សន៍ រៀបចំស្ដង់ដានិងលក្ខណៈសម្បត្តិផ្នែកបច្ចេកទេសសម្រាប់កិច្ចការដែលប្រើរលកអាកាស។ អាជីពនេះសិក្សា ប្រព័ន្ធផ្សាព្វផ្សាយ និងគមនាគមន៍ និងព័ត៌មានរយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ មានចំណេះដឹងកុំព្យូទ័រ និងភាសាអង់គ្លេសពិតជាល្អ។ ,វិទ្យាស្ថានជាតិប្រៃសណីយ៍ ទូរគមនាគមន៍ បច្ចេកវិទ្យាគមនាគមន៍ និងព័ត៌មាន,ក្រសួងព័ត៌មាន និងស្ថាប័នឯនជន​
6,car_voc_0006,អ្នកបញ្ជាគ្រឿងចក្រ,អ្នកបញ្ជាគ្រឿងចក្រគឺជាអ្នកបំរើសេវាអតិថិជនដែលជាផ្នែកមួយនៃការបញ្ជាគ្រឿងចក្រ ក្នុងឈូសឆាយដី កាយដីជាស្រះទឹក និងធ្វើផ្លូវ ។ គាត់ជាអ្នកទទួលខុសត្រូវចំពោះគ្រឿងចក្រ ការពារ សុវត្ថិភាព រក្សាទុក និង  ថែទាំគ្រឿងចក្រ ជួសជុលបរិក្ខារគ្រឿងម៉ាស៊ីននៅពេលខូច និង​ ដឹកជញ្ជូន ។ គាត់ត្រូវជាមនុស្សមួយមានការតាំងចិត្តខ្ពស់ក្នុងការងារ និង អាចធ្វើការលើសម៉ោងបាន។,សាលាបើកបររថយន្ត និង សា្ថប័នឯកជន,ក្រុមហ៊ុនឯកជន អាជីវកម្មផ្ទាល់ខ្លួន 
7,car_voc_0007,អ្នកធ្វើគ្រឿងសង្ហារឹម,អ្នកធ្វើគ្រឿងសង្ហារឹម​គឺជាអ្នកកែច្នៃសម្ភារៈធ្វើអំពីឈើដូចជា តុ ទូ កៅអី ទ្វារ និងវត្ថុអនុស្សាវរីយ៍ផ្សេងៗជាច្រើនទៀត គឺសុទ្ឋសឹងជាស្នាដៃគ្រឿងសង្ហារឹម។ អាជីពនេះត្រូវមានគំនិតច្នៃប្រឌិត និងមានទេពកោសល្យក្នុងការកែច្នៃ។ ចំពោះចំណេះដឹងមូលដ្ឋានគណិត មានទំនាក់ទំនងជាមួយអតិថិជន​ចាំបាច់។,អង្គការការីតាសកម្ពុជា,ធ្វើសិប្បកម្មខ្លួនឯង; ក្រុមហ៊ុនឯកជន
8,car_voc_0008,អ្នកពន្លត់អគ្គិភ័យ,អ្នកពន្លត់អគ្គីភ័យ គឺជាអ្នកជួយសង្គ្រោះបឋមក្នុងការពន្លត់អគ្គីភ័យដែលកំពុងឆាប់ឆេះដែលអាចបង្កគ្រោះថ្នាក់គំរាមកំហែងដល់ជីវិតទ្រព្យសម្បត្តិនិងបរិស្ថាន។ការងារនេះសម្រាប់តែអ្នកមាននិស្ស័យពិតៗមានទំនួលខុសត្រូវខ្ពស់ ដោយពុំគិតពីជីវិតដើម្បីជួយសង្គ្រោះអ្នកដទៃ។ ចំពោះចំណេះដឹងជំនាញនេះទាមទារឲ្យដាក់ពាក្យចូលបំពេញការងារក្នុងភ្នាក់ងារពន្លត់អគ្គីភ័យ។​,ក្រសួងការពារជាតិ និងមហាផ្ទៃ,"ភ្ញាក់ងារជំនាញរបស់ក្រសួង
មហាផ្ទៃ"
