no,name,logo_name,address,province,phone_numbers,faxes,Emails,website_or_facebook,mailbox,department_name,major
1,សាខាវិទ្យាស្ថានក្រុងអង្គរ,krong_angkor,ផ្លូវលេខ ១១ ភូមិឯករ៉ាម សង្កាត់ជើងទឹក ខេត្តព្រៃវែង,ព្រៃវែង,០១២ ៤៩១ ៧៧៧,,aci_pv@yahoo.com,,,"មហាវិទ្យាល័យគ្រប់គ្រង
ពាណិជ្ជកម្ម និងទេសចរណ៍",គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,"មហាវិទ្យាល័យនិតីសាស្រ្ត និង
សេដ្ឋកិច្ច",និតីឯកជន
,,,,,,,,,,,និតីសាធារណៈ
,,,,,,,,,,,ធនាគារ និងហរិញ្ញវត្ថុ
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
អប់រំ",គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,,ភាសាអង់គ្លេស
2,សាខាសាកលវិទ្យាល័យឯកទេសនៃកម្ពុជា,cambodia_specialty,ភូមិជ្រោយថ្ម សង្កាត់បឹងកុក ក្រុងកំពង់ចាម ខេត្តកំពង់ចាម,កំពង់ចាម,០១២ ៤៤២ ៧២៧,,info@cus.edu.kh,,,"មហាវិទ្យាល័យសិល្បៈ
 មនុស្សសាស្រ្ត និងភាសា",អក្សរសាស្រ្តអង់គ្លេស
,,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ចិត្ត-គរុកោសល្យ
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
និងបច្ចេកទេស",វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,គ្រប់ក្រងប្រព័ន្ធព័ត៌មានវិទ្យា
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គ្រប់គ្រងសិ្ថតិអនុវត្តន៏
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មានវិទ្យា
,,,,,,,,,,"មហាវិទ្យាល័យគ្រប់គ្រង
ពាណិជ្ជកម្ម និងសេដ្ឋកិច្ច",គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ហរិញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,,ម៉ាឃីតធីង(ទីផ្សារ)
,,,,,,,,,,,សេដ្ឋកិច្ចអភិវឌ្ឍន៏
,,,,,,,,,,,គ្រប់គ្រងសណ្ឋាគារ និងទេសចរណ៏
,,,,,,,,,,,គ្រប់គ្រងការផ្សាយពាណិជ្ជកម្ម
,,,,,,,,,,,គ្រប់គ្រងពាណិជ្ជកម្មអន្ដរជាតិ
,,,,,,,,,,,គ្រប់គ្រងអចលនវត្ថុ និងដីធ្លី
3,សាខាសាកលវិទ្យាល័យវេស្ទើន,western,ភូមិទី ២ សង្កាត់វាលវង់ ក្រុងកំពង់ចាម ខេត្តកំពង់ចាម,កំពង់ចាម,០៤២ ៩៤២ ០២៤ ; ០៩៧ ៦៦៩ ៩៩៩០,,info_wu@western.edu.kh,,,"មហាវិទ្យាល័យសិល្បៈ
មនុស្សសាស្រ្ត ភាសា",អប់រំភាសាអង់គេ្លស
,,,,,,,,,,,អង់គេ្លសសម្រាប់ទំនាក់ទំនង
,,,,,,,,,,"មហាវិទ្យាល័យគ្រប់គ្រង
សណ្ឋាគារ និងទេសចរណ៏",គ្រប់គ្រងសណ្ឋាគារ និងបដិសណ្ឋាកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៏
,,,,,,,,,,មហាវិទ្យាល័យសេដ្ឋកិច្ច,ហរិញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,,សេដ្ឋកិច្ចអភិវឌ្ឍន៏
,,,,,,,,,,,វិនិយោគ និងទីផ្សារភាគហ៊ុន
,,,,,,,,,,"មហាវិទ្យាល័យគ្រប់គ្រង
ពាណិជ្ជកម្ម គណនេយ្យ",ទីផ្សារ និងទំនាក់ទំនង
,,,,,,,,,,,គ្រប់គ្រង និងភាពជាអ្នកដឹកនាំ
,,,,,,,,,,,គណនេយ្យ និងសេវនកម្ម
,,,,,,,,,,នីតិសាស្រ្ត,ច្បាប់
,,,,,,,,,,,ច្បាប់ការទូត
,,,,,,,,,,,រដ្ឋបាលសារធាណៈ
,,,,,,,,,,,ច្បាប់អង្គការអន្តរជាតិ និង NGOs
,,,,,,,,,,វិទ្យាសាស្រ្តកុំព្យូទ័រ,រៀបចំបណ្ដាញកុំព្យូទ័រ
,,,,,,,,,,,សរសេរកម្មវិទ្យាគ្រប់គ្រងកុំព្យូទ័រ
,,,,,,,,,,វិទ្យាសាស្រ្តអប់រំ,ប្រវត្តិវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,ខេមវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,ទស្សនៈវិទ្យា
4,សាខាសាកលវិទ្យាល័យគ្រប់គ្រង និង សេដ្ឋកិច្ច,management_economic,ផ្លូវជាតិលេខ ៧ ភូមិបឹងស្នាយ សង្កាត់សំបូរមាស ក្រុងកំពង់ចាម ខេត្តកំពង់ចាម,កំពង់ចាម,០៤២ ៦៧៧ ៧៧០៧ ; ០៤២ ៦៧៧ ៧៧០៨,,info@ume-kpc.edu.kh,,,,គ្រប់គ្រង
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ធនាគារ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ទីផ្សារ (ម៉ាឃីតធីង)
,,,,,,,,,,,ច្បាប់
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,,អភិវឌ្ឍន៍សហគមន៍
,,,,,,,,,,,អក្សរសាស្ត្រខ្មែរ
,,,,,,,,,,,ភាសាអង់គ្លេស
,,,,,,,,,,,គណិតវិទ្យា
5,សាកលវិទ្យាល័យកំពង់ចាម,,ក្រុងកំពង់ចាម ខេត្តកំពង់ចាម,កំពង់ចាម,"0426777729;
096 555 666 8;
088 97 97 222;
098 54 40 80",,infor.ukc@gmail.com,,,, គិណនុបដ្ឋាន
,,,,,,,,,,,ទន្តគិណនុដ្ឋាន
,,,,,,,,,,,មន្ទីរពិសោធន៏
,,,,,,,,,,,ធ្មប
6,ពុទ្វិកសាកលវិទ្យាល័យសម្ដេចអគ្គមហាសេនាបតី តេជោ ហ៊ុន សែន,,សង្កាត់ បឹងកុក ក្រុងកំពង់ចាម ខេត្តកំពង់ចាម,កំពង់ចាម,042 637 0123; 015 46 53 73,,www.hsbu.edu.kh,,,,អក្សរសាស្រ្តខែ្មរ
,,,,,,,,,,,ទស្សនវិជ្ជា ពុទ្ធសាសនា
,,,,,,,,,,,នីតិរដ្ឋបាលសាធារណៈ
,,,,,,,,,,,អក្សរសាស្រ្តអង់គ្លេស
,,,,,,,,,,,គ្រប់គ្រងទូទៅ
,,,,,,,,,,,រដ្ឋបាលអប់រំ
,,,,,,,,,,,ភាសាបាលី
7,សាខាសាកលវិទ្យាល័យបៀលប្រាយ,bbu,ភូមិវិហារចិន សង្កាត់ស្វាយដង្កំ ក្រុងសៀមរាប ខេត្តសៀមរាប,សៀមរាប,០៦៣ ៩៦៣ ៣០០ ; ០១៥ ៩០៨ ៧៧៧,,siemreapinfo@bbu.edu.kh,,,"មហាវិទ្យាល័យ សេដ្ឋកិច្ច និង
វិទ្យាសាស្រ្តកសិកម្ម",សេដ្ឋកិច្ច
,,,,,,,,,,,សេដ្ឋកិច្ច និងហរិញ្ញវត្ថុ
,,,,,,,,,,,គ្រប់គ្រងគម្រោង និងអភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,,គ្រប់គ្រងកសិដ្ឋាន និងកសិធុរកិច្ច
,,,,,,,,,,,ពាណិជ្ជកម្ម និងហរិញ្ញវត្ថុអន្តរជាតិ
,,,,,,,,,,,កសិកម្ម
,,,,,,,,,,,ក្សេត្រសាស្រ្ត
,,,,,,,,,,,ផលិតកម្មសត្វ
,,,,,,,,,,,បច្ចេកវិទ្យាក្រោយប្រមូលផល
,,,,,,,,,,"មហាវិទ្យាល័យច្បាប់ និង
វិទ្យាសាស្រ្តសង្គម",និតីសាស្រ្ត
,,,,,,,,,,,និតីឯកជន និងនិតីធុរកិច្ច
,,,,,,,,,,,និតីសាធារណៈ
,,,,,,,,,,,និតីអន្តរជាតិ
,,,,,,,,,,,រដ្ឋបាលសាធារណៈ​
,,,,,,,,,,,គ្រប់គ្រងសាធារណៈ និងអភិបាលកិច្ច
,,,,,,,,,,,គោលនយោបាយសាធារណៈ
,,,,,,,,,,,វិទ្យាសាស្រ្តនយោបាយ
,,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈ
 មនុស្សសាស្រ្​្ត និងភាសា",ភាសាអង់គ្លេស
,,,,,,,,,,,បង្រៀនភាសាអង់គ្លេសជាភាសាបរទេស
,,,,,,,,,,,បកប្រែភាសា
,,,,,,,,,,,ភាសាអង់គ្លេសសម្រាប់ធុរកិច្ចអន្តរជាតិ
,,,,,,,,,,,អប់រំ
,,,,,,,,,,,ផែនការអប់រំ និងគ្រប់គ្រង
,,,,,,,,,,"មហាវិទ្យាល័យវិស្វកម្ម និង
ស្ថាបត្យកម្ម",វិស្វកម្ម
